Crime_Type,Severity_Level,Date,Time,Day_of_Week,Month,Year,Time_Slot,City,State,Police_Station_Area,Age_Group_Mostly_Affected,Population_Density,Previous_Crimes_Area,Police_Station_Distance,Patrol_Intensity,Victim_Gender,city_norm,state_norm,expected_lat,expected_lon,dist_to_expected_km,matched_type,Latitude_fixed,Longitude_fixed
Burglary,Medium,27-02-2024,00:25,Wednesday,8,2021,Afternoon,Jaipur,Rajasthan,East,Young Adult (20-35),7719,87,17.81,Low,Female,jaipur,uttar pradesh,26.9124,75.7873,2719.131491,city_only,26.9124,75.7873
Robbery,Critical,13-04-2023,04:36,Saturday,12,2022,Night,Hyderabad,Telangana,West,Teen (13-19),7097,42,9.65,Medium,Male,hyderabad,west bengal,17.385,78.4867,1829.816973,city_only,17.385,78.4867
Robbery,Critical,18-04-2021,04:16,Wednesday,7,2022,Morning,Hyderabad,Telangana,North,Child (0-12),22872,7,3.67,Medium,Other,hyderabad,tamil nadu,17.385,78.4867,2309.175103,city_only,17.385,78.4867
Domestic Violence,High,07-07-2022,17:57,Wednesday,9,2025,Evening,Chennai,Tamil Nadu,East,Child (0-12),24475,17,15.15,Medium,Female,chennai,tamil nadu,13.0827,80.2707,5.089597971,city_state,13.0827,80.2707
Drug Offense,Medium,25-03-2022,15:12,Tuesday,3,2021,Evening,Lucknow,Uttar Pradesh,South,Senior (56+),21048,41,4.49,High,Other,lucknow,rajasthan,26.8467,80.9462,1754.353925,city_only,26.8467,80.9462
Fraud,Critical,24-07-2024,00:19,Friday,8,2023,Afternoon,Mumbai,Maharashtra,East,Young Adult (20-35),5597,72,18.23,Medium,Other,mumbai,tamil nadu,19.076,72.8777,739.0296034,city_only,19.076,72.8777
Vandalism,High,20-08-2024,23:51,Wednesday,12,2021,Night,Delhi,Delhi,Central,Young Adult (20-35),17950,12,5,High,Male,delhi,maharashtra,28.6139,77.209,1944.719109,city_only,28.6139,77.209
Robbery,Low,08-12-2022,16:42,Monday,5,2023,Morning,Ahmedabad,Gujarat,Central,Child (0-12),20677,42,17.94,High,Other,ahmedabad,gujarat,23.0225,72.5714,0.716796692,city_state,23.0225,72.5714
Drug Offense,High,21-01-2024,21:22,Monday,11,2021,Night,Delhi,Delhi,East,Adult (36-55),6434,0,4.63,Medium,Other,delhi,delhi,28.6139,77.209,4.37119915,city_state,28.6139,77.209
Assault,High,15-05-2022,09:41,Monday,3,2023,Afternoon,Pune,Maharashtra,North,Teen (13-19),24892,20,2.29,Low,Female,pune,delhi,18.5204,73.8567,1828.439391,city_only,18.5204,73.8567
Robbery,Low,11-05-2023,00:47,Wednesday,10,2025,Night,Pune,Maharashtra,West,Adult (36-55),7846,28,6.5,High,Female,pune,karnataka,18.5204,73.8567,842.3675185,city_only,18.5204,73.8567
Fraud,Critical,12-10-2022,19:19,Friday,10,2023,Evening,Bangalore,Karnataka,Central,Adult (36-55),8405,50,15.88,Low,Other,bangalore,rajasthan,12.9716,77.5946,426.929482,city_only,12.9716,77.5946
Assault,Medium,09-02-2022,08:21,Thursday,11,2025,Morning,Mumbai,Maharashtra,Central,Young Adult (20-35),21617,84,1.52,Medium,Male,mumbai,uttar pradesh,19.076,72.8777,2691.305832,city_only,19.076,72.8777
Domestic Violence,High,14-07-2025,23:28,Saturday,10,2023,Afternoon,Bangalore,Karnataka,South,Child (0-12),18806,72,7.67,High,Female,bangalore,uttar pradesh,12.9716,77.5946,1068.942884,city_only,12.9716,77.5946
Domestic Violence,Critical,13-12-2022,06:47,Tuesday,4,2022,Morning,Chennai,Tamil Nadu,South,Child (0-12),27921,62,18.52,Medium,Male,chennai,karnataka,13.0827,80.2707,271.3870751,city_only,13.0827,80.2707
Drug Offense,Medium,08-05-2021,10:10,Friday,11,2024,Afternoon,Chennai,Tamil Nadu,West,Senior (56+),26314,53,14.74,Medium,Other,chennai,uttar pradesh,13.0827,80.2707,1300.637454,city_only,13.0827,80.2707
Fraud,Critical,24-07-2022,12:29,Wednesday,4,2024,Afternoon,Ahmedabad,Gujarat,Central,Senior (56+),24115,32,8.35,Medium,Female,ahmedabad,delhi,23.0225,72.5714,1341.985146,city_only,23.0225,72.5714
Domestic Violence,Low,17-11-2024,19:18,Friday,3,2023,Afternoon,Hyderabad,Telangana,North,Young Adult (20-35),8055,42,3.45,Low,Other,hyderabad,gujarat,17.385,78.4867,1885.97842,city_only,17.385,78.4867
Robbery,Critical,19-02-2021,03:40,Monday,2,2025,Afternoon,Pune,Maharashtra,Central,Adult (36-55),21574,46,17.77,Medium,Other,pune,karnataka,18.5204,73.8567,1699.463165,city_only,18.5204,73.8567
Vandalism,Critical,14-09-2023,03:59,Wednesday,8,2025,Morning,Kolkata,West Bengal,Central,Young Adult (20-35),9737,71,8.05,Low,Other,kolkata,rajasthan,22.5726,88.3639,867.7584464,city_only,22.5726,88.3639
Murder,Low,13-03-2025,20:54,Friday,1,2024,Afternoon,Pune,Maharashtra,North,Adult (36-55),26153,29,7.15,Medium,Male,pune,maharashtra,18.5204,73.8567,4.12592969,city_state,18.5204,73.8567
Burglary,Critical,01-06-2023,10:44,Sunday,11,2025,Afternoon,Ahmedabad,Gujarat,Central,Young Adult (20-35),17058,37,5.28,High,Other,ahmedabad,delhi,23.0225,72.5714,1683.181435,city_only,23.0225,72.5714
Assault,Low,24-01-2023,14:33,Wednesday,3,2024,Morning,Bangalore,Karnataka,Central,Young Adult (20-35),7564,29,14.47,High,Other,bangalore,rajasthan,12.9716,77.5946,1757.125586,city_only,12.9716,77.5946
Cybercrime,Medium,14-07-2023,20:08,Friday,11,2021,Morning,Chennai,Tamil Nadu,East,Young Adult (20-35),22020,34,9.07,High,Other,chennai,karnataka,13.0827,80.2707,1318.842925,city_only,13.0827,80.2707
Murder,Critical,05-10-2021,00:20,Friday,2,2021,Evening,Jaipur,Rajasthan,West,Adult (36-55),14783,87,18.58,High,Female,jaipur,karnataka,26.9124,75.7873,1685.96688,city_only,26.9124,75.7873
Assault,Medium,01-11-2023,05:48,Friday,2,2022,Morning,Jaipur,Rajasthan,South,Adult (36-55),6625,5,0.47,Low,Female,jaipur,karnataka,26.9124,75.7873,1504.804897,city_only,26.9124,75.7873
Cybercrime,Low,13-11-2023,05:46,Thursday,4,2021,Morning,Chennai,Tamil Nadu,North,Teen (13-19),6179,83,13.77,Medium,Male,chennai,delhi,13.0827,80.2707,654.9798504,city_only,13.0827,80.2707
Drug Offense,Critical,21-11-2023,11:17,Sunday,12,2021,Morning,Lucknow,Uttar Pradesh,North,Teen (13-19),6453,8,5.71,Low,Other,lucknow,tamil nadu,26.8467,80.9462,860.7574315,city_only,26.8467,80.9462
Cybercrime,Critical,11-07-2022,06:42,Saturday,3,2025,Afternoon,Lucknow,Uttar Pradesh,South,Child (0-12),24439,72,19.91,High,Other,lucknow,tamil nadu,26.8467,80.9462,2221.742571,city_only,26.8467,80.9462
Domestic Violence,Critical,24-01-2022,13:49,Wednesday,8,2024,Evening,Bangalore,Karnataka,Central,Adult (36-55),8214,42,7.65,High,Other,bangalore,rajasthan,12.9716,77.5946,1718.14827,city_only,12.9716,77.5946
Murder,Low,23-03-2021,12:57,Friday,8,2022,Morning,Lucknow,Uttar Pradesh,East,Senior (56+),23686,40,7.56,Low,Female,lucknow,uttar pradesh,26.8467,80.9462,3.796758885,city_state,26.8467,80.9462
Assault,Critical,19-09-2022,01:09,Wednesday,8,2025,Afternoon,Bangalore,Karnataka,South,Senior (56+),8993,40,10.14,Low,Male,bangalore,rajasthan,12.9716,77.5946,1516.831666,city_only,12.9716,77.5946
Vandalism,Low,13-04-2024,03:26,Saturday,5,2024,Night,Bangalore,Karnataka,West,Child (0-12),20953,42,13.98,High,Other,bangalore,delhi,12.9716,77.5946,428.6682729,city_only,12.9716,77.5946
Vandalism,Low,10-08-2022,17:42,Sunday,3,2021,Afternoon,Hyderabad,Telangana,North,Child (0-12),13427,18,5.85,High,Male,hyderabad,tamil nadu,17.385,78.4867,1877.005662,city_only,17.385,78.4867
Burglary,Medium,05-07-2024,16:03,Sunday,5,2022,Afternoon,Chennai,Tamil Nadu,East,Teen (13-19),5802,31,1.03,Low,Female,chennai,telangana,13.0827,80.2707,834.5780942,city_only,13.0827,80.2707
Vandalism,High,20-09-2023,00:54,Tuesday,10,2025,Morning,Jaipur,Rajasthan,Central,Young Adult (20-35),11576,26,17.79,Low,Male,jaipur,telangana,26.9124,75.7873,1681.165074,city_only,26.9124,75.7873
Drug Offense,Critical,06-07-2025,15:46,Thursday,10,2025,Night,Pune,Maharashtra,Central,Adult (36-55),26049,26,12.72,Low,Other,pune,maharashtra,18.5204,73.8567,4.904694327,city_state,18.5204,73.8567
Theft,Critical,07-06-2023,17:41,Monday,8,2023,Night,Ahmedabad,Gujarat,East,Senior (56+),23212,10,5.78,Low,Other,ahmedabad,rajasthan,23.0225,72.5714,583.5025226,city_only,23.0225,72.5714
Murder,High,18-11-2021,19:25,Sunday,10,2024,Night,Bangalore,Karnataka,South,Young Adult (20-35),20172,68,19.9,High,Other,bangalore,karnataka,12.9716,77.5946,609.5313387,city_state,12.9716,77.5946
Drug Offense,High,06-03-2021,22:50,Wednesday,7,2024,Morning,Ahmedabad,Gujarat,West,Teen (13-19),21772,75,19.06,Low,Male,ahmedabad,delhi,23.0225,72.5714,783.7331158,city_only,23.0225,72.5714
Fraud,Critical,13-09-2023,22:52,Thursday,6,2022,Night,Ahmedabad,Gujarat,North,Child (0-12),12574,40,5.65,Medium,Other,ahmedabad,delhi,23.0225,72.5714,2116.841274,city_only,23.0225,72.5714
Drug Offense,Medium,28-09-2025,02:19,Thursday,6,2025,Evening,Jaipur,Rajasthan,Central,Teen (13-19),20982,29,7.3,Low,Female,jaipur,delhi,26.9124,75.7873,895.2590957,city_only,26.9124,75.7873
Murder,High,11-01-2025,01:46,Monday,12,2025,Night,Mumbai,Maharashtra,South,Child (0-12),26434,72,6.56,Low,Other,mumbai,maharashtra,19.076,72.8777,2.682688973,city_state,19.076,72.8777
Cybercrime,Medium,13-04-2021,19:07,Sunday,1,2023,Morning,Kolkata,West Bengal,West,Child (0-12),19747,62,9.9,High,Other,kolkata,telangana,22.5726,88.3639,153.2209503,city_only,22.5726,88.3639
Burglary,Critical,27-12-2023,05:58,Monday,3,2021,Night,Mumbai,Maharashtra,South,Teen (13-19),9504,31,3.86,High,Male,mumbai,telangana,19.076,72.8777,1331.695789,city_only,19.076,72.8777
Vandalism,Medium,12-12-2023,15:41,Saturday,11,2025,Afternoon,Delhi,Delhi,North,Young Adult (20-35),18039,45,5.29,Medium,Other,delhi,uttar pradesh,28.6139,77.209,861.0711468,city_only,28.6139,77.209
Assault,Critical,12-07-2021,01:40,Tuesday,8,2023,Evening,Lucknow,Uttar Pradesh,Central,Adult (36-55),23513,62,6.72,Low,Other,lucknow,karnataka,26.8467,80.9462,793.6675565,city_only,26.8467,80.9462
Domestic Violence,Critical,21-05-2025,01:52,Tuesday,3,2023,Night,Mumbai,Maharashtra,West,Child (0-12),28578,96,19.36,Low,Male,mumbai,gujarat,19.076,72.8777,2490.543642,city_only,19.076,72.8777
Vandalism,Low,19-06-2025,14:05,Saturday,4,2022,Evening,Ahmedabad,Gujarat,East,Child (0-12),6310,77,16.51,Medium,Other,ahmedabad,karnataka,23.0225,72.5714,1939.248528,city_only,23.0225,72.5714
Domestic Violence,Low,16-05-2021,09:18,Tuesday,6,2023,Morning,Chennai,Tamil Nadu,East,Adult (36-55),15142,94,18.78,Medium,Other,chennai,karnataka,13.0827,80.2707,1250.592997,city_only,13.0827,80.2707
Burglary,High,12-06-2022,11:49,Tuesday,3,2023,Afternoon,Ahmedabad,Gujarat,West,Adult (36-55),8968,20,4.52,Medium,Other,ahmedabad,west bengal,23.0225,72.5714,1491.975967,city_only,23.0225,72.5714
Theft,Medium,16-08-2022,20:06,Wednesday,7,2024,Evening,Hyderabad,Telangana,North,Teen (13-19),17229,87,16.26,High,Female,hyderabad,maharashtra,17.385,78.4867,1654.101264,city_only,17.385,78.4867
Vandalism,Low,01-08-2022,18:01,Monday,10,2025,Morning,Delhi,Delhi,Central,Teen (13-19),15161,18,18.03,Medium,Male,delhi,telangana,28.6139,77.209,2187.686912,city_only,28.6139,77.209
Robbery,Critical,09-04-2022,03:41,Saturday,6,2022,Morning,Hyderabad,Telangana,Central,Child (0-12),18425,82,16.96,High,Male,hyderabad,rajasthan,17.385,78.4867,884.8196708,city_only,17.385,78.4867
Burglary,Medium,05-10-2023,01:19,Tuesday,6,2025,Evening,Jaipur,Rajasthan,North,Adult (36-55),16518,5,0.37,Low,Female,jaipur,maharashtra,26.9124,75.7873,2066.088785,city_only,26.9124,75.7873
Drug Offense,Critical,04-11-2024,03:02,Sunday,7,2024,Evening,Ahmedabad,Gujarat,North,Young Adult (20-35),10676,65,17,Low,Female,ahmedabad,west bengal,23.0225,72.5714,1065.738016,city_only,23.0225,72.5714
Assault,High,14-03-2021,08:10,Monday,11,2025,Morning,Pune,Maharashtra,West,Teen (13-19),15122,42,2.85,Medium,Female,pune,gujarat,18.5204,73.8567,628.0469255,city_only,18.5204,73.8567
Theft,Low,11-07-2023,21:42,Sunday,6,2023,Night,Bangalore,Karnataka,South,Adult (36-55),29987,50,7.29,Low,Female,bangalore,tamil nadu,12.9716,77.5946,1293.04631,city_only,12.9716,77.5946
Cybercrime,Medium,31-08-2024,13:17,Wednesday,12,2021,Afternoon,Kolkata,West Bengal,Central,Teen (13-19),25062,2,7.8,Low,Female,kolkata,west bengal,22.5726,88.3639,6.55445506,city_state,22.5726,88.3639
Assault,Medium,11-12-2023,14:41,Wednesday,3,2022,Morning,Hyderabad,Telangana,East,Senior (56+),26777,53,9.75,Medium,Other,hyderabad,maharashtra,17.385,78.4867,603.3046399,city_only,17.385,78.4867
Drug Offense,High,08-05-2023,18:59,Tuesday,11,2022,Evening,Kolkata,West Bengal,East,Senior (56+),21096,48,16.22,High,Other,kolkata,karnataka,22.5726,88.3639,1740.47111,city_only,22.5726,88.3639
Theft,Medium,04-02-2023,09:52,Monday,8,2024,Afternoon,Pune,Maharashtra,North,Young Adult (20-35),10144,9,19.05,Low,Male,pune,uttar pradesh,18.5204,73.8567,1092.615493,city_only,18.5204,73.8567
Drug Offense,Critical,18-03-2023,02:24,Monday,2,2024,Evening,Lucknow,Uttar Pradesh,East,Teen (13-19),5641,76,8.44,High,Female,lucknow,karnataka,26.8467,80.9462,1387.527461,city_only,26.8467,80.9462
Burglary,Low,28-08-2025,16:30,Friday,1,2022,Evening,Bangalore,Karnataka,East,Child (0-12),10429,2,9.07,Medium,Other,bangalore,rajasthan,12.9716,77.5946,2459.262957,city_only,12.9716,77.5946
Drug Offense,High,04-09-2023,01:18,Sunday,4,2024,Afternoon,Mumbai,Maharashtra,South,Senior (56+),22332,8,12.97,High,Female,mumbai,karnataka,19.076,72.8777,1694.894757,city_only,19.076,72.8777
Cybercrime,Low,07-06-2023,22:14,Wednesday,10,2022,Morning,Pune,Maharashtra,South,Senior (56+),22822,46,11.72,High,Male,pune,uttar pradesh,18.5204,73.8567,1291.987855,city_only,18.5204,73.8567
Burglary,Medium,02-12-2023,23:13,Sunday,2,2025,Morning,Pune,Maharashtra,South,Adult (36-55),10892,47,12.39,Medium,Female,pune,rajasthan,18.5204,73.8567,1381.407568,city_only,18.5204,73.8567
Vandalism,Critical,08-04-2024,14:01,Wednesday,7,2021,Morning,Bangalore,Karnataka,South,Teen (13-19),13470,22,14.95,Low,Other,bangalore,delhi,12.9716,77.5946,2076.7246,city_only,12.9716,77.5946
Burglary,Critical,04-03-2022,20:11,Thursday,11,2021,Afternoon,Pune,Maharashtra,East,Senior (56+),16730,7,16.17,Medium,Other,pune,telangana,18.5204,73.8567,1341.192237,city_only,18.5204,73.8567
Fraud,Low,30-06-2021,03:13,Wednesday,10,2023,Night,Ahmedabad,Gujarat,North,Senior (56+),15068,99,2.06,Low,Male,ahmedabad,rajasthan,23.0225,72.5714,2530.888464,city_only,23.0225,72.5714
Vandalism,Low,19-12-2023,13:59,Sunday,9,2021,Night,Ahmedabad,Gujarat,North,Child (0-12),10675,29,10.18,Low,Other,ahmedabad,telangana,23.0225,72.5714,1929.788082,city_only,23.0225,72.5714
Murder,Medium,08-09-2024,18:18,Monday,1,2025,Night,Lucknow,Uttar Pradesh,West,Young Adult (20-35),18998,3,2.8,High,Male,lucknow,tamil nadu,26.8467,80.9462,2076.053505,city_only,26.8467,80.9462
Drug Offense,Medium,05-09-2023,07:56,Sunday,5,2023,Night,Chennai,Tamil Nadu,South,Teen (13-19),23730,65,9.07,Medium,Other,chennai,west bengal,13.0827,80.2707,2065.022752,city_only,13.0827,80.2707
Cybercrime,High,06-07-2024,14:55,Sunday,9,2023,Morning,Lucknow,Uttar Pradesh,North,Teen (13-19),9992,96,17.57,Low,Other,lucknow,tamil nadu,26.8467,80.9462,1299.433345,city_only,26.8467,80.9462
Drug Offense,Medium,10-03-2024,09:12,Wednesday,7,2021,Night,Hyderabad,Telangana,East,Child (0-12),10233,55,16.95,High,Female,hyderabad,gujarat,17.385,78.4867,1533.939106,city_only,17.385,78.4867
Murder,Critical,29-05-2025,11:14,Sunday,5,2023,Morning,Bangalore,Karnataka,Central,Teen (13-19),11245,20,4.9,Medium,Other,bangalore,delhi,12.9716,77.5946,2318.789202,city_only,12.9716,77.5946
Fraud,Critical,09-09-2025,02:21,Thursday,12,2023,Night,Jaipur,Rajasthan,North,Adult (36-55),11266,63,6.1,Medium,Other,jaipur,delhi,26.9124,75.7873,2091.882322,city_only,26.9124,75.7873
Theft,Low,29-01-2024,22:37,Friday,3,2021,Morning,Pune,Maharashtra,North,Senior (56+),10858,34,1.23,High,Female,pune,west bengal,18.5204,73.8567,2002.568285,city_only,18.5204,73.8567
Cybercrime,Medium,06-01-2022,06:31,Thursday,3,2022,Night,Pune,Maharashtra,West,Teen (13-19),29005,11,2.71,Low,Female,pune,maharashtra,18.5204,73.8567,4.892255477,city_state,18.5204,73.8567
Robbery,Medium,17-04-2023,04:14,Tuesday,2,2023,Night,Chennai,Tamil Nadu,North,Senior (56+),23143,13,2.71,High,Male,chennai,gujarat,13.0827,80.2707,2281.5934,city_only,13.0827,80.2707
Assault,Medium,08-07-2025,04:37,Tuesday,10,2025,Afternoon,Chennai,Tamil Nadu,East,Young Adult (20-35),28916,21,18.62,High,Other,chennai,gujarat,13.0827,80.2707,2214.468082,city_only,13.0827,80.2707
Theft,Low,26-01-2024,09:23,Tuesday,6,2024,Evening,Delhi,Delhi,Central,Teen (13-19),7241,33,5.65,Medium,Other,delhi,telangana,28.6139,77.209,1437.325248,city_only,28.6139,77.209
Theft,Low,13-04-2023,09:12,Wednesday,3,2025,Evening,Delhi,Delhi,East,Young Adult (20-35),16070,3,14.59,Low,Female,delhi,maharashtra,28.6139,77.209,2446.338807,city_only,28.6139,77.209
Murder,Medium,11-05-2025,19:52,Tuesday,4,2024,Afternoon,Pune,Maharashtra,East,Young Adult (20-35),23872,70,18.51,Medium,Other,pune,delhi,18.5204,73.8567,2598.011149,city_only,18.5204,73.8567
Fraud,Medium,09-09-2023,20:43,Friday,2,2025,Night,Jaipur,Rajasthan,East,Teen (13-19),24510,10,15.54,Low,Female,jaipur,telangana,26.9124,75.7873,1773.531888,city_only,26.9124,75.7873
Burglary,Critical,02-06-2022,15:15,Tuesday,4,2024,Morning,Lucknow,Uttar Pradesh,West,Senior (56+),17620,66,3.43,Medium,Female,lucknow,telangana,26.8467,80.9462,1202.576044,city_only,26.8467,80.9462
Vandalism,Critical,06-03-2023,08:02,Friday,12,2023,Evening,Chennai,Tamil Nadu,South,Young Adult (20-35),17279,60,4.68,Low,Other,chennai,maharashtra,13.0827,80.2707,1609.047256,city_only,13.0827,80.2707
Drug Offense,Low,30-12-2023,01:49,Friday,1,2023,Night,Delhi,Delhi,East,Teen (13-19),9439,7,15.47,Medium,Other,delhi,maharashtra,28.6139,77.209,348.3466355,city_only,28.6139,77.209
Cybercrime,Critical,05-03-2024,08:04,Friday,1,2025,Evening,Chennai,Tamil Nadu,South,Young Adult (20-35),8535,8,9.69,Low,Female,chennai,uttar pradesh,13.0827,80.2707,2561.408292,city_only,13.0827,80.2707
Domestic Violence,Critical,14-10-2023,14:40,Tuesday,11,2023,Night,Mumbai,Maharashtra,Central,Child (0-12),21262,95,5.7,Medium,Male,mumbai,gujarat,19.076,72.8777,1706.098838,city_only,19.076,72.8777
Burglary,High,07-01-2025,07:37,Sunday,4,2025,Evening,Jaipur,Rajasthan,South,Young Adult (20-35),22155,96,3.83,High,Other,jaipur,maharashtra,26.9124,75.7873,2045.926048,city_only,26.9124,75.7873
Robbery,Critical,27-02-2022,01:49,Wednesday,3,2023,Night,Bangalore,Karnataka,Central,Young Adult (20-35),15453,83,4.17,Medium,Other,bangalore,tamil nadu,12.9716,77.5946,1587.004368,city_only,12.9716,77.5946
Cybercrime,Low,23-01-2022,09:22,Saturday,10,2023,Afternoon,Mumbai,Maharashtra,South,Teen (13-19),27710,8,19.29,Medium,Female,mumbai,maharashtra,19.076,72.8777,0.326999858,city_state,19.076,72.8777
Theft,Low,23-12-2021,02:14,Saturday,7,2023,Morning,Lucknow,Uttar Pradesh,Central,Young Adult (20-35),13800,64,16.41,High,Other,lucknow,karnataka,26.8467,80.9462,861.9549819,city_only,26.8467,80.9462
Theft,Medium,30-10-2022,14:39,Wednesday,2,2022,Morning,Kolkata,West Bengal,East,Adult (36-55),20999,24,8.34,Low,Male,kolkata,west bengal,22.5726,88.3639,5.768496882,city_state,22.5726,88.3639
Robbery,Critical,12-08-2022,00:41,Monday,3,2022,Afternoon,Chennai,Tamil Nadu,East,Young Adult (20-35),14936,28,17.61,High,Female,chennai,maharashtra,13.0827,80.2707,1089.992444,city_only,13.0827,80.2707
Robbery,High,21-08-2021,00:05,Friday,12,2022,Morning,Bangalore,Karnataka,East,Senior (56+),26732,98,4.19,Low,Male,bangalore,maharashtra,12.9716,77.5946,1333.920018,city_only,12.9716,77.5946
Vandalism,Medium,20-02-2025,23:27,Sunday,1,2024,Evening,Lucknow,Uttar Pradesh,West,Adult (36-55),9489,27,5.53,High,Male,lucknow,maharashtra,26.8467,80.9462,1060.338474,city_only,26.8467,80.9462
Cybercrime,High,14-04-2023,20:26,Saturday,12,2023,Evening,Hyderabad,Telangana,East,Young Adult (20-35),20651,4,2.41,Medium,Male,hyderabad,gujarat,17.385,78.4867,857.6946913,city_only,17.385,78.4867
Murder,Low,28-10-2022,19:13,Tuesday,6,2023,Evening,Kolkata,West Bengal,Central,Teen (13-19),6734,45,5.1,Medium,Other,kolkata,rajasthan,22.5726,88.3639,681.3583229,city_only,22.5726,88.3639
Assault,Medium,06-09-2021,19:09,Tuesday,6,2025,Night,Hyderabad,Telangana,South,Senior (56+),28189,0,2.45,Low,Female,hyderabad,uttar pradesh,17.385,78.4867,1564.963201,city_only,17.385,78.4867
Theft,Critical,23-12-2024,20:28,Wednesday,5,2021,Evening,Kolkata,West Bengal,South,Young Adult (20-35),20839,56,19.45,High,Female,kolkata,rajasthan,22.5726,88.3639,2065.965731,city_only,22.5726,88.3639
Vandalism,Medium,07-02-2024,16:37,Saturday,8,2022,Morning,Bangalore,Karnataka,West,Senior (56+),26541,34,18.24,High,Other,bangalore,telangana,12.9716,77.5946,1845.966855,city_only,12.9716,77.5946
Drug Offense,Medium,09-01-2022,08:18,Friday,2,2024,Morning,Ahmedabad,Gujarat,Central,Adult (36-55),7403,53,14.99,Low,Male,ahmedabad,uttar pradesh,23.0225,72.5714,1515.924454,city_only,23.0225,72.5714
Assault,High,13-04-2024,17:24,Saturday,10,2021,Night,Jaipur,Rajasthan,South,Teen (13-19),7094,58,0.83,Medium,Male,jaipur,telangana,26.9124,75.7873,1987.244478,city_only,26.9124,75.7873
Cybercrime,Critical,14-12-2022,19:25,Monday,12,2025,Morning,Delhi,Delhi,East,Teen (13-19),27729,96,12.13,Medium,Male,delhi,maharashtra,28.6139,77.209,787.4742906,city_only,28.6139,77.209
Domestic Violence,High,23-12-2023,10:59,Friday,7,2025,Afternoon,Jaipur,Rajasthan,East,Senior (56+),23366,65,11.29,Medium,Other,jaipur,tamil nadu,26.9124,75.7873,1393.824946,city_only,26.9124,75.7873
Theft,Medium,22-02-2024,21:27,Thursday,8,2023,Morning,Bangalore,Karnataka,West,Young Adult (20-35),27407,39,6.45,Medium,Other,bangalore,karnataka,12.9716,77.5946,1497.01729,city_state,12.9716,77.5946
Robbery,Low,21-09-2025,07:54,Tuesday,4,2022,Morning,Ahmedabad,Gujarat,South,Child (0-12),29700,86,9.39,High,Other,ahmedabad,west bengal,23.0225,72.5714,1938.162414,city_only,23.0225,72.5714
Robbery,Critical,24-01-2023,20:24,Monday,2,2022,Afternoon,Delhi,Delhi,East,Child (0-12),16545,32,15.81,High,Other,delhi,maharashtra,28.6139,77.209,1419.757452,city_only,28.6139,77.209
Murder,Medium,01-11-2023,20:47,Tuesday,5,2025,Night,Ahmedabad,Gujarat,West,Young Adult (20-35),23454,55,14.46,Low,Male,ahmedabad,karnataka,23.0225,72.5714,787.8340708,city_only,23.0225,72.5714
Cybercrime,Low,30-05-2022,11:49,Saturday,4,2023,Night,Chennai,Tamil Nadu,South,Teen (13-19),18395,78,5.17,Low,Male,chennai,gujarat,13.0827,80.2707,1743.155533,city_only,13.0827,80.2707
Vandalism,Critical,05-12-2022,04:37,Thursday,9,2023,Afternoon,Bangalore,Karnataka,South,Teen (13-19),29000,44,2.45,High,Male,bangalore,gujarat,12.9716,77.5946,1191.120992,city_only,12.9716,77.5946
Murder,High,28-01-2024,20:00,Friday,1,2022,Morning,Chennai,Tamil Nadu,West,Senior (56+),17432,45,18.49,Low,Other,chennai,karnataka,13.0827,80.2707,701.9221402,city_only,13.0827,80.2707
Drug Offense,Low,12-10-2021,23:26,Saturday,3,2024,Night,Ahmedabad,Gujarat,East,Adult (36-55),27512,36,0.18,Medium,Female,ahmedabad,tamil nadu,23.0225,72.5714,2464.181607,city_only,23.0225,72.5714
Assault,High,04-04-2024,20:21,Thursday,6,2022,Night,Pune,Maharashtra,West,Teen (13-19),18815,56,8.2,Low,Male,pune,gujarat,18.5204,73.8567,2237.23207,city_only,18.5204,73.8567
Assault,Critical,22-07-2021,08:36,Wednesday,12,2024,Evening,Pune,Maharashtra,East,Child (0-12),10193,57,9.19,Medium,Other,pune,karnataka,18.5204,73.8567,2269.156977,city_only,18.5204,73.8567
Cybercrime,Low,11-01-2021,01:45,Sunday,4,2024,Evening,Chennai,Tamil Nadu,East,Child (0-12),14150,83,14.95,Medium,Other,chennai,west bengal,13.0827,80.2707,348.4245953,city_only,13.0827,80.2707
Cybercrime,Low,21-05-2022,20:02,Saturday,8,2025,Night,Ahmedabad,Gujarat,East,Child (0-12),14544,44,19.74,High,Other,ahmedabad,maharashtra,23.0225,72.5714,1358.392018,city_only,23.0225,72.5714
Domestic Violence,Low,01-09-2024,00:12,Wednesday,7,2025,Evening,Bangalore,Karnataka,West,Young Adult (20-35),19939,78,3.22,High,Female,bangalore,rajasthan,12.9716,77.5946,885.6129978,city_only,12.9716,77.5946
Murder,High,21-04-2024,08:30,Sunday,7,2023,Evening,Hyderabad,Telangana,North,Young Adult (20-35),16948,60,16.6,Medium,Other,hyderabad,gujarat,17.385,78.4867,2067.546748,city_only,17.385,78.4867
Domestic Violence,Medium,19-07-2025,20:24,Sunday,9,2025,Afternoon,Hyderabad,Telangana,Central,Adult (36-55),20874,4,14.51,Medium,Other,hyderabad,gujarat,17.385,78.4867,1907.215334,city_only,17.385,78.4867
Fraud,Low,06-10-2022,17:22,Friday,7,2025,Night,Bangalore,Karnataka,Central,Senior (56+),18848,5,2.16,Low,Female,bangalore,karnataka,12.9716,77.5946,2935.270521,city_state,12.9716,77.5946
